,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
480,kruisfontein,986717,-34.0,64.08,0,89,7.31
481,gambela,337405,8.25,62.37,20,75,1.61
482,burgthann,2941090,49.36,37.4,0,86,5.82
483,dubbo,2168305,-32.25,82.4,0,37,11.41
484,primorsk,505269,60.37,30.6,0,87,11.39
485,arlit,2447513,18.74,52.92,24,38,3.29
486,orlik,1496073,52.51,-27.01,0,33,2.06
487,eirunepe,3664321,-6.66,80.95,32,81,3.06
488,sibolga,1213855,1.74,69.21,36,100,1.88
489,khilok,2022463,51.36,-3.7,0,46,5.12
490,plymouth,2640194,50.37,48.6,0,92,17.83
491,esmeraldas,3464008,-19.76,69.8,75,94,4.7
492,kununurra,2068110,-15.77,82.4,0,83,5.08
493,gazojak,1514792,41.19,34.29,92,98,6.58
494,kokopo,2093685,-4.34,82.12,20,100,8.55
495,karratha,6620339,-20.74,86.13,0,54,4.85
496,nador,2541479,35.17,59.0,56,82,9.17
497,hobyo,57000,5.35,73.71,0,93,10.6
498,port hedland,2063042,-20.31,89.6,12,62,16.11
499,rio grande,3451138,-32.03,73.53,0,91,13.35
500,mukhen,2019718,48.19,15.84,36,71,7.09
501,talnakh,1490256,69.49,-17.29,24,49,5.08
502,tommot,2015179,58.97,11.61,64,59,9.15
